"oms_id","seq","link_id","link_dir"
0,1,"L0000X","FW"
3,1,"L0054X","FW"
3,2,"L0566X","BW"
3,3,"L0399X","BW"
6,1,"L0030X","BW"
6,2,"L0056X","FW"
6,3,"L0077X","BW"
6,4,"L0529X","FW"
6,5,"L0097X","BW"
10,1,"L0109X","FW"
10,2,"L0609X","BW"
23,1,"L0503X","FW"
23,2,"L0577X","BW"
23,3,"L0609X","BW"
26,1,"L0002X","FW"
26,2,"L0480X","FW"
26,3,"L0274X","BW"
28,1,"L0223X","BW"
38,1,"L0071X","FW"
45,1,"L0061X","FW"
45,2,"L0084X","BW"
47,1,"L0046X","FW"
47,2,"L0047X","BW"
64,1,"L0102X","FW"
75,1,"L0133X","FW"
75,2,"L0374X","FW"
75,3,"L0585X","BW"
77,1,"L0066X","FW"
77,2,"L0488X","BW"
88,1,"L0145X","FW"
88,2,"L0193X","FW"
88,3,"L0174X","BW"
97,1,"L0167X","FW"
97,2,"L0505X","BW"
101,1,"L0454X","BW"
102,1,"L0400X","FW"
105,1,"L0044X","FW"
105,2,"L0493X","BW"
118,1,"L0093X","FW"
118,2,"L0132X","BW"
120,1,"L0080X","FW"
125,1,"L0051X","FW"
125,2,"L0331X","FW"
126,1,"L0232X","FW"
126,2,"L0495X","BW"
126,3,"L0460X","BW"
137,1,"L0231X","FW"
148,1,"L0091X","FW"
148,2,"L0129X","FW"
148,3,"L0496X","BW"
150,1,"L0019X","BW"
152,1,"L0032X","FW"
153,1,"L0031X","FW"
155,1,"L0026X","FW"
156,1,"L0009X","FW"
156,2,"L0434X","BW"
171,1,"L0166X","FW"
171,2,"L0462X","BW"
182,1,"L0086X","BW"
182,2,"L0288X","FW"
182,3,"L0365X","BW"
182,4,"L0461X","BW"
186,1,"L0467X","FW"
186,2,"L0497X","BW"
187,1,"L0484X","FW"
187,2,"L0526X","BW"
188,1,"L0604X","FW"
190,1,"L0283X","BW"
196,1,"L0322X","BW"
197,1,"L0463X","FW"
198,1,"L0150X","FW"
198,2,"L0459X","BW"
201,1,"L0014X","FW"
201,2,"L0151X","BW"
202,1,"L0058X","FW"
202,2,"L0581X","FW"
202,3,"L0383X","BW"
208,1,"L0282X","BW"
208,2,"L0468X","BW"
208,3,"L0469X","FW"
215,1,"L0159X","FW"
215,2,"L0395X","BW"
215,3,"L0394X","FW"
218,1,"L0297X","FW"
218,2,"L0211X","BW"
218,3,"L0391X","FW"
221,1,"L0146X","BW"
221,2,"L0149X","FW"
222,1,"L0317X","FW"
226,1,"L0260X","FW"
232,1,"L0424X","BW"
235,1,"L0199X","FW"
235,2,"L0266X","BW"
237,1,"L0412X","BW"
238,1,"L0291X","FW"
240,1,"L0237X","BW"
241,1,"L0289X","FW"
243,1,"L0005X","FW"
243,2,"L0008X","BW"
244,1,"L0006X","FW"
245,1,"L0253X","BW"
245,2,"L0413X","FW"
246,1,"L0450X","BW"
248,1,"L0085X","FW"
249,1,"L0087X","FW"
251,1,"L0479X","BW"
253,1,"L0182X","FW"
253,2,"L0536X","BW"
253,3,"L0502X","FW"
253,4,"L0513X","BW"
255,1,"L0292X","FW"
255,2,"L0378X","BW"
257,1,"L0041X","BW"
261,1,"L0055X","FW"
261,2,"L0339X","BW"
262,1,"L0284X","FW"
262,2,"L0546X","FW"
262,3,"L0344X","BW"
266,1,"L0030X","BW"
266,2,"L0100X","FW"
267,1,"L0320X","FW"
267,2,"L0518X","BW"
268,1,"L0198X","BW"
268,2,"L0195X","FW"
268,3,"L0556X","BW"
268,4,"L0001X","BW"
268,5,"L0246X","FW"
271,1,"L0335X","FW"
271,2,"L0123X","FW"
271,3,"L0547X","FW"
271,4,"L0528X","BW"
274,1,"L0060X","FW"
274,2,"L0225X","BW"
276,1,"L0511X","FW"
279,1,"L0105X","FW"
279,2,"L0512X","BW"
280,1,"L0216X","BW"
284,1,"L0183X","BW"
284,2,"L0185X","FW"
286,1,"L0259X","FW"
286,2,"L0430X","BW"
286,3,"L0432X","FW"
287,1,"L0040X","FW"
287,2,"L0452X","FW"
288,1,"L0039X","FW"
289,1,"L0038X","FW"
290,1,"L0040X","FW"
290,2,"L0141X","BW"
295,1,"L0611X","FW"
301,1,"L0370X","BW"
301,2,"L0372X","FW"
302,1,"L0036X","FW"
302,2,"L0533X","BW"
303,1,"L0396X","FW"
303,2,"L0534X","BW"
305,1,"L0486X","FW"
305,2,"L0186X","FW"
305,3,"L0534X","BW"
306,1,"L0504X","BW"
310,1,"L0419X","FW"
310,2,"L0554X","FW"
310,3,"L0475X","BW"
311,1,"L0109X","FW"
311,2,"L0577X","FW"
311,3,"L0542X","FW"
311,4,"L0217X","FW"
311,5,"L0466X","BW"
315,1,"L0200X","BW"
317,1,"L0082X","BW"
317,2,"L0158X","FW"
317,3,"L0242X","FW"
317,4,"L0134X","BW"
324,1,"L0082X","BW"
324,2,"L0158X","FW"
324,3,"L0190X","BW"
325,1,"L0072X","FW"
325,2,"L0309X","BW"
328,1,"L0244X","BW"
331,1,"L0218X","FW"
331,2,"L0492X","BW"
332,1,"L0222X","FW"
332,2,"L0262X","FW"
332,3,"L0456X","BW"
334,1,"L0347X","FW"
334,2,"L0439X","BW"
336,1,"L0371X","FW"
336,2,"L0186X","FW"
336,3,"L0396X","BW"
341,1,"L0296X","FW"
341,2,"L0544X","BW"
342,1,"L0020X","FW"
342,2,"L0052X","FW"
344,1,"L0403X","BW"
346,1,"L0072X","FW"
346,2,"L0567X","FW"
346,3,"L0075X","BW"
347,1,"L0089X","FW"
348,1,"L0135X","FW"
349,1,"L0140X","FW"
350,1,"L0215X","FW"
350,2,"L0357X","FW"
350,3,"L0405X","BW"
352,1,"L0053X","BW"
352,2,"L0500X","FW"
353,1,"L0392X","FW"
353,2,"L0539X","BW"
354,1,"L0164X","FW"
354,2,"L0539X","BW"
356,1,"L0076X","FW"
356,2,"L0570X","FW"
356,3,"L0156X","BW"
359,1,"L0017X","FW"
359,2,"L0448X","BW"
362,1,"L0203X","FW"
362,2,"L0521X","BW"
365,1,"L0292X","FW"
365,2,"L0300X","BW"
368,1,"L0221X","BW"
368,2,"L0421X","FW"
368,3,"L0236X","BW"
373,1,"L0063X","FW"
376,1,"L0022X","FW"
376,2,"L0563X","BW"
376,3,"L0530X","BW"
376,4,"L0557X","FW"
376,5,"L0307X","BW"
376,6,"L0276X","BW"
382,1,"L0106X","FW"
382,2,"L0074X","FW"
382,3,"L0129X","BW"
382,4,"L0329X","FW"
384,1,"L0076X","FW"
384,2,"L0520X","BW"
385,1,"L0199X","FW"
385,2,"L0314X","BW"
387,1,"L0064X","FW"
387,2,"L0464X","BW"
390,1,"L0128X","FW"
391,1,"L0005X","FW"
391,2,"L0311X","BW"
391,3,"L0212X","BW"
392,1,"L0205X","BW"
396,1,"L0257X","FW"
396,2,"L0599X","BW"
403,1,"L0024X","FW"
406,1,"L0126X","FW"
406,2,"L0543X","BW"
409,1,"L0398X","BW"
411,1,"L0104X","BW"
413,1,"L0206X","BW"
413,2,"L0209X","FW"
417,1,"L0316X","FW"
417,2,"L0211X","FW"
417,3,"L0552X","BW"
417,4,"L0415X","BW"
418,1,"L0206X","BW"
418,2,"L0207X","FW"
423,1,"L0178X","FW"
423,2,"L0298X","BW"
427,1,"L0076X","FW"
427,2,"L0570X","FW"
427,3,"L0485X","BW"
428,1,"L0326X","FW"
429,1,"L0243X","BW"
432,1,"L0035X","BW"
433,1,"L0160X","BW"
433,2,"L0163X","FW"
435,1,"L0591X","FW"
436,1,"L0287X","BW"
438,1,"L0234X","FW"
438,2,"L0578X","BW"
438,3,"L0118X","BW"
438,4,"L0336X","BW"
439,1,"L0270X","FW"
440,1,"L0267X","FW"
446,1,"L0227X","FW"
446,2,"L0498X","BW"
447,1,"L0226X","FW"
447,2,"L0338X","FW"
447,3,"L0508X","BW"
453,1,"L0295X","BW"
453,2,"L0010X","FW"
453,3,"L0348X","BW"
456,1,"L0021X","FW"
459,1,"L0361X","FW"
460,1,"L0194X","FW"
460,2,"L0269X","BW"
462,1,"L0337X","FW"
463,1,"L0384X","FW"
468,1,"L0379X","FW"
468,2,"L0482X","BW"
470,1,"L0286X","FW"
470,2,"L0470X","BW"
472,1,"L0285X","FW"
472,2,"L0290X","BW"
474,1,"L0060X","FW"
474,2,"L0420X","BW"
474,3,"L0123X","FW"
474,4,"L0547X","FW"
474,5,"L0235X","BW"
476,1,"L0043X","FW"
476,2,"L0239X","BW"
478,1,"L0321X","FW"
478,2,"L0404X","BW"
479,1,"L0142X","FW"
479,2,"L0576X","FW"
479,3,"L0127X","BW"
479,4,"L0414X","BW"
492,1,"L0590X","BW"
498,1,"L0049X","FW"
500,1,"L0258X","FW"
500,2,"L0386X","BW"
503,1,"L0147X","BW"
504,1,"L0379X","FW"
504,2,"L0389X","BW"
505,1,"L0016X","FW"
505,2,"L0390X","BW"
506,1,"L0173X","FW"
506,2,"L0377X","BW"
508,1,"L0382X","BW"
509,1,"L0122X","FW"
509,2,"L0480X","BW"
509,3,"L0411X","BW"
514,1,"L0204X","FW"
514,2,"L0351X","FW"
516,1,"L0201X","FW"
516,2,"L0369X","BW"
520,1,"L0440X","FW"
522,1,"L0157X","BW"
526,1,"L0304X","BW"
527,1,"L0346X","BW"
530,1,"L0345X","FW"
536,1,"L0018X","FW"
536,2,"L0318X","BW"
537,1,"L0050X","FW"
538,1,"L0253X","BW"
538,2,"L0343X","FW"
539,1,"L0241X","BW"
540,1,"L0139X","FW"
540,2,"L0407X","BW"
542,1,"L0451X","FW"
542,2,"L0555X","BW"
542,3,"L0478X","BW"
546,1,"L0458X","FW"
549,1,"L0507X","BW"
550,1,"L0106X","FW"
550,2,"L0214X","BW"
553,1,"L0313X","FW"
553,2,"L0333X","BW"
553,3,"L0473X","BW"
555,1,"L0328X","BW"
555,2,"L0331X","FW"
556,1,"L0373X","FW"
557,1,"L0445X","FW"
560,1,"L0312X","FW"
560,2,"L0554X","FW"
560,3,"L0408X","BW"
561,1,"L0310X","FW"
561,2,"L0217X","BW"
561,3,"L0501X","BW"
564,1,"L0457X","FW"
571,1,"L0189X","BW"
571,2,"L0288X","FW"
571,3,"L0447X","BW"
572,1,"L0175X","FW"
572,2,"L0240X","BW"
574,1,"L0033X","FW"
574,2,"L0395X","BW"
574,3,"L0394X","FW"
581,1,"L0490X","FW"
581,2,"L0088X","FW"
581,3,"L0497X","BW"
584,1,"L0251X","FW"
584,2,"L0487X","BW"
585,1,"L0099X","FW"
585,2,"L0568X","FW"
585,3,"L0506X","BW"
587,1,"L0153X","BW"
589,1,"L0334X","FW"
590,1,"L0305X","BW"
590,2,"L0306X","FW"
590,3,"L0580X","BW"
590,4,"L0332X","BW"
593,1,"L0165X","FW"
594,1,"L0009X","FW"
594,2,"L0264X","BW"
594,3,"L0263X","FW"
594,4,"L0237X","BW"
594,5,"L0045X","FW"
595,1,"L0229X","FW"
595,2,"L0573X","BW"
595,3,"L0126X","BW"
595,4,"L0130X","FW"
595,5,"L0118X","BW"
595,6,"L0409X","BW"
596,1,"L0031X","FW"
596,2,"L0224X","FW"
597,1,"L0059X","FW"
597,2,"L0581X","FW"
597,3,"L0196X","BW"
597,4,"L0192X","BW"
597,5,"L0379X","FW"
597,6,"L0389X","BW"
597,7,"L0387X","FW"
597,8,"L0191X","BW"
597,9,"L0191X","FW"
597,10,"L0545X","BW"
597,11,"L0104X","BW"
597,12,"L0106X","FW"
597,13,"L0074X","FW"
597,14,"L0129X","BW"
597,15,"L0091X","BW"
598,1,"L0402X","FW"
598,2,"L0537X","BW"
598,3,"L0536X","FW"
598,4,"L0535X","BW"
598,5,"L0453X","BW"
598,6,"L0451X","FW"
598,7,"L0555X","BW"
598,8,"L0532X","BW"
598,9,"L0533X","FW"
598,10,"L0098X","BW"
598,11,"L0417X","BW"
599,1,"L0150X","FW"
599,2,"L0356X","BW"
599,3,"L0464X","BW"
599,4,"L0035X","BW"
599,5,"L0465X","FW"
599,6,"L0388X","BW"
599,7,"L0388X","FW"
599,8,"L0148X","BW"
599,9,"L0146X","FW"
599,10,"L0490X","FW"
599,11,"L0088X","FW"
599,12,"L0467X","BW"
600,1,"L0045X","BW"
600,2,"L0233X","FW"
600,3,"L0123X","BW"
600,4,"L0420X","FW"
600,5,"L0060X","BW"
600,6,"L0231X","BW"
601,1,"L0167X","FW"
601,2,"L0550X","BW"
601,3,"L0509X","BW"
601,4,"L0491X","BW"
601,5,"L0490X","FW"
601,6,"L0088X","FW"
601,7,"L0467X","BW"
602,1,"L0032X","FW"
602,2,"L0015X","FW"
602,3,"L0208X","BW"
602,4,"L0183X","BW"
602,5,"L0185X","FW"
602,6,"L0515X","FW"
602,7,"L0357X","FW"
602,8,"L0438X","BW"
602,9,"L0305X","BW"
602,10,"L0306X","FW"
602,11,"L0580X","BW"
602,12,"L0275X","BW"
603,1,"L0176X","BW"
603,2,"L0094X","FW"
603,3,"L0430X","BW"
603,4,"L0432X","FW"
603,5,"L0476X","BW"
604,1,"L0003X","BW"
604,2,"L0020X","FW"
604,3,"L0271X","FW"
604,4,"L0296X","BW"
604,5,"L0298X","FW"
604,6,"L0548X","BW"
604,7,"L0549X","FW"
604,8,"L0046X","BW"
605,1,"L0051X","FW"
605,2,"L0328X","FW"
605,3,"L0473X","FW"
605,4,"L0333X","FW"
605,5,"L0349X","BW"
605,6,"L0204X","BW"
605,7,"L0201X","FW"
605,8,"L0569X","BW"
605,9,"L0568X","FW"
605,10,"L0571X","BW"
605,11,"L0061X","BW"
606,1,"L0029X","FW"
606,2,"L0082X","FW"
606,3,"L0282X","BW"
606,4,"L0468X","BW"
606,5,"L0393X","BW"
606,6,"L0394X","FW"
606,7,"L0251X","FW"
606,8,"L0113X","BW"
607,1,"L0079X","FW"
607,2,"L0285X","BW"
607,3,"L0089X","BW"
607,4,"L0103X","FW"
608,1,"L0151X","FW"
608,2,"L0013X","BW"
608,3,"L0021X","FW"
608,4,"L0373X","FW"
608,5,"L0391X","BW"
608,6,"L0316X","BW"
608,7,"L0315X","FW"
608,8,"L0576X","BW"
608,9,"L0575X","BW"
608,10,"L0174X","BW"
609,1,"L0080X","FW"
609,2,"L0243X","BW"
609,3,"L0244X","FW"
609,4,"L0309X","FW"
609,5,"L0567X","FW"
609,6,"L0155X","BW"
609,7,"L0017X","FW"
609,8,"L0449X","BW"
609,9,"L0450X","FW"
609,10,"L0413X","BW"
609,11,"L0343X","FW"
609,12,"L0486X","FW"
609,13,"L0371X","BW"
609,14,"L0265X","FW"
609,15,"L0401X","BW"
609,16,"L0350X","FW"
609,17,"L0125X","BW"
610,1,"L0025X","FW"
610,2,"L0034X","BW"
610,3,"L0321X","BW"
610,4,"L0239X","FW"
610,5,"L0579X","FW"
610,6,"L0493X","BW"
611,1,"L0083X","FW"
611,2,"L0526X","BW"
611,3,"L0517X","BW"
611,4,"L0410X","BW"
612,1,"L0113X","FW"
612,2,"L0251X","BW"
612,3,"L0538X","FW"
612,4,"L0001X","BW"
612,5,"L0245X","FW"
612,6,"L0462X","BW"
613,1,"L0097X","FW"
613,2,"L0529X","BW"
613,3,"L0077X","FW"
613,4,"L0056X","BW"
613,5,"L0100X","FW"
613,6,"L0519X","FW"
613,7,"L0320X","BW"
613,8,"L0294X","BW"
613,9,"L0010X","FW"
613,10,"L0110X","FW"
613,11,"L0172X","BW"
614,1,"L0003X","BW"
614,2,"L0020X","FW"
614,3,"L0271X","FW"
614,4,"L0296X","BW"
614,5,"L0298X","FW"
614,6,"L0178X","BW"
614,7,"L0223X","FW"
615,1,"L0121X","FW"
615,2,"L0256X","FW"
616,1,"L0410X","FW"
616,2,"L0517X","FW"
616,3,"L0526X","FW"
616,4,"L0484X","BW"
675,1,"L0152X","FW"
675,2,"L0430X","FW"
675,3,"L0094X","BW"
675,4,"L0176X","FW"
675,5,"L0381X","BW"
700,1,"L0293X","FW"
700,2,"L0495X","BW"
700,3,"L0460X","BW"
700,4,"L0462X","FW"
700,5,"L0245X","BW"
700,6,"L0001X","FW"
700,7,"L0556X","FW"
700,8,"L0112X","BW"
700,9,"L0184X","FW"
700,10,"L0339X","BW"
740,1,"L0224X","FW"
740,2,"L0410X","FW"
740,3,"L0516X","FW"
813,1,"L0246X","BW"
813,2,"L0245X","FW"
813,3,"L0462X","BW"
813,4,"L0461X","FW"
813,5,"L0471X","BW"
823,1,"L0003X","FW"
823,2,"L0380X","BW"
842,1,"L0177X","BW"
842,2,"L0176X","FW"
842,3,"L0132X","FW"
842,4,"L0472X","FW"
877,1,"L0003X","FW"
877,2,"L0477X","FW"
877,3,"L0238X","BW"
913,1,"L0179X","FW"
913,2,"L0402X","BW"
913,3,"L0467X","FW"
913,4,"L0088X","BW"
913,5,"L0510X","BW"
913,6,"L0509X","FW"
913,7,"L0550X","FW"
913,8,"L0505X","BW"
